Offset,Effect,Comments,Functional Explanations / Notes
,,,
Static Player Block,Length 0xE90,"Static block starting at 0x80453080 for P1, 80453F10 for P2, 80454dA0 for P3, 80455C30 for P4",
0x00,Player State,Int. 0x02 In-Game (includes dead). 0x00 Otherwise.,
0x04,Player Character (External ID),Int.,
0x08,"Slot Type (Human, CPU, Demo, None)","Int. (0x0000000 is HMN, 0x00000001 is CPU, 0x00000002 is Demo, 0x00000003 n/a)",
0x0C,Transformed,"Short. 0x0001 for normal, 0x0100 for transformed (Probably Zelda/Sheik only)","800326CC multiplies 1 * 0x0C if a character is transformed. So the formula for position = 0x10 + (0x0C * isTransformed), resulting in positions offsets 0x1C through 0x24 instead of 0x10 through 0x18"
0x0E,0000?,Short.,
0x10,Nametag X (Horizontal) Position,Float,
0x14,Nametag Y (Vertical) Position,Float,
0x18,Nametag Z (Depth) Position,Float,
0x1C,Transformed Player X Position,"Float. Set by initial spawn & respawns. If you're transformed, this acts as the player nametag position.",
0x20,Transformed Player Y Position, ,
0x24,Transformed Player Z Position,Float.,
0x28,Spawn Platform Final Position X,"Float. These are set the first time you respawn, unless a stage changes your spawn position",
0x2C,Spawn Platform Final Position Y,Float.,
0x30,Spawn Platform Final Position Z,Float. Same as Spawn Position Z.,
0x34,?, ,
0x38,?, ,
0x3C,?,Int,
0x40,Facing Direction,Float.,
0x44,Costume ID,"Byte. 00 = normal, 01 = red, 02 = blue, 03 = green (reflected in icon immediately)",
0x45,?,Byte.,
0x46,Controller Index,Byte.,
0x47,,"Byte. 00 = red, 01 = blue, 02 = green",
0x48,Player ID,Byte.,
0x49,CPU Level,Byte.,
0x4A,CPU Type,Byte.,
0x4B,Handicap Value,Byte.,
0x4C,?,,
0x50,?,Float,
0x54,Attack Ratio,Float,
0x58,Damage Defense Ratio,Float,
0x5C,Model Scale,Float. Scale that match was started with. Modifying does nothing.,
0x60,Stamina HP Lost / Percentage - Currently Displayed ,Short,
0x62,Starting Percentage / Nana's %,Short. Used in modes like Sudden Death to set your starting Percentage. Otherwise Nana's or Sheik's %,
0x64,Stamina HP,Short,
0x66,?,Short,
0x68,Falls,Int,
0x6C,Nana's Death Count,Int,
0x70,P1 KOs,Int,
0x74,P2 KOs,Int,
0x78,P3 KOs,Int,
0x7C,P4 KOs,Int,
0x80,P5 KOs,Int,
0x84,P6 KOs,Int,
0x88,Match Frame Count,"Int. If -1 in zz_0035184, then it's set to MatchInfo->frame_count",
0x8C,Suicide Count,Short,
0x8E,Stocks,Byte,
0x8F,00?,Byte,
0x90,Current Coins,Int,
0x94,Total Coins Collected,Int,
0x98,?,,
0x9C,?,Int.,
0xA0,Joystick Direction Input Count,Int. Incremented every time you move the joystick a different direction from neutral.,
0xA4,?,,
0xA8,Name Tag Slot ID,,
0xAC,Bit Flags,Byte. (Multi-Spawn - 0x40 = True) (Rumble Flag bit 24),
0xAD,?,,
0xAE,?,,
0xAF,?,,
0xB0,Pointer to Player Entity,,
0xB4,Pointer to Sub-Character Entity,"Used for followers, such as Nana",
0xBC,Stale Move Table Current Write Index,Int. Zero-Indexed. Rolls over after 9. Increments after each write.,
0xC0,Stale Move Index 0,1st Short is the move ID,
0xC4,Stale Move Index 1,2nd Short is the # of action states that character has gone through this game,
0xC8,Stale Move Index 2,,
0xCC,Stale Move Index 3,,
0xD0,Stale Move Index 4,,
0xD4,Stale Move Index 5,,
0xD8,Stale Move Index 6,,
0xDC,Stale Move Index 7,,
0xE0,Stale Move Index 8,,
0xE4,Stale Move Index 9,,
0xE8,Total Player Attack Count,"Int. Incremented by 1 with each attack, hit or miss",
0xEC,?,Int.,
,,,
0x6A8,?,Accessed by zz_00362B4,
0x66C,Dash Forward Count,,
0x674,Jump Count,,
0x690,Ledge Grab Count,,
0x694,Taunt Count,*,
0x69C,Shield Count,,
,,,
0xD18,Total Connected Attacks,Int. Incremented when an attack lands,
0xD1C,Total Damage Received,Float.,
0xD20,Peak Damage Received,Float. Reflects the highest amount of damage received in a single life,
0xD28,Total Damage Given,Float.,
0xD38,Total Damage Received (Repeated?),Float.,
,,,
START Player Entity Struct,Length 0x44,"Refers to values starting from the ""data pointer,"" also known as a GObj",
0x00,Entity Class,Short. 0x0004 indicates a Player.  Ex. 0x00040805,
0x02,p_link,Byte.,
0x03,gx_link,"Byte. Index into 2 arrays (highest render priority & lowest) of various GObjs for rendering, essentially indicating object type.",
0x04,P Priority,Byte. Reference 8038ffb8,
0x05,GX Render priority,Byte. Reference 8039069C,
0x06,obj_kind,Byte. Set to 0xFF for NO REF.,
0x07,data_kind,Byte. Set to 0xFF for NO REF.,
0x08,Next player's data pointer,"Data pointers are ""daisy-chained,"" so each subsequent player is accessed from the data pointer of the previous",
0x0C,Previous player's data pointer,"For P2+, this points to P(n - 1)",
0x10,Next player's data pointer - GX Ordered,This points to the lower render priority GObj relative to this one.,
0x14,Previous player's data pointer - GX Ordered,This points to the higher render priority GObj relative to this one.,
0x18,Pointer to GObjProc,,
0x1C,GXCallback Render Function,"0x80080E18(entity*, int code)",
0x20,0x00000000,,
0x24,0x00000000,,
0x28,Pointer to JObj,,
0x2C,Pointer to Player Character Data (see below table),Usually 0x60 away from the start of Player Entity Struct,
0x30,Pointer to Destructor Function,0x8006DABC(entity*),
0x34,Pointer to Linked List,,
0x38,0x00000000,,
0x3C,Flags,,
0x40,Pointer to Linked List,,
0x44,Pointer to Linked List,,
,,,
START Player Character Data,,"Traditionally, the game points to this for anything related to Char Data, as sometimes the data does not immediately follow the entity struct",
0x00,Entity Struct Pointer,Points back to 0x00 of the Entity,
0x01,Player Index (Internal ID),"Word. Used for bone lookups, such as prior to spawning JObjs at a specified bone",
0x08,Current Spawn #,The current life is the nth character spawned since the beginning of the match,
0x0C,Player Slot,Byte,
0x0D,,Byte,
0x0E,,Byte,
0x0F,,Byte,
0x10,Action State,The value at this address indicates the action state of the character. Modifying this alone does nothing.,
0x14,Animation State,The animation to occur after the current one ends. Only has an effect if the current action state is set to loop.,
0x18,0x155,Move table divider constant?,
0x1C,Shared Action State Table Pointer,,
0x20,Move Table Pointer,Player dependent move table pointer,
0x24,Character's action state hitbox/animation pointer,,
0x28,End of hitbox data pointer?,,
0x2C,Facing direction,"Float. 1 is right, -1 is left",
0x30,Facing direction (Repeated),"Not a direct repeat of above. I believe 0x30 is the actual facing direction of the model / Bone 0, and 0x2C is the ""official"" character facing as far as game/move logic is concerned.",
0x34,Player Scale,Read on map load.,
0x38,Player Scale,Read on map load. Set according to 0x94. Affects physics. [Affects hitbox size?],
0x3C,Player Depth Scale,Read on map load. Changes width on Z-Axis,
0x40,Pointer to Next Linked List,Traditionally 0x00000000. THIS IS NOT ALWAYS CONSISTENT,
0x44,Pointer to 0x40 / Pointer to Prev Linked List,,
0x48,Length of Linked List,Always 0x40 (64)?,
0x74,Unk,Float. Used for Ness's Jump (@ 800CC654),
0x78,,Float.,
0x80,Horizontal velocity (self-induced),Changing this will only have an effect if the character is in the air.,
0x84,Vertical Velocity (self-induced),"Float. Positive = up, negative = down. Changes when the player jumps/falls of his own accord. Does not kill upward.",
0x88,Depth velocity (self-induced),Float. Assume unused.,
0x8C,Horizontal velocity (attack-induced),"Float. Positive = right, negative = left.",
0x90,Vertical velocity (attack-induced),"Float. Positive = up, negative = down. Only works when player is in the air. Changes when the player is attacked. Kills upward.",
0x94,Depth velocity (attack-induced),Float. Assume unused.,
0xA0,,Float.,
0xA4,Pointer to Prev Linked List,,
0xA8,Pointer to Next Linked List,,
0xAC,Length of Linked List,Int. Always 0x6 (6)?,
0xB0,X (Horizontal) position,"Float. Positive is right, negative is left. 00000000 is center.",
0xB4,Y (Vertical) position,Float. Only works when player is in the air.,
0xB8,Z (Depth) position,Float,
0xBC,X (Horizonal) position (Prev. Frame),Float,
0xC0,Y (Vertical) position (Prev. Frame),Float,
0xC4,Z (Depth) Position (Prev. Frame),Float,
0xC8,X Delta (Curr - Prev Pos),Float,
0xCC,Y Delta (Curr - Prev Pos),Float,
0xD0,Z Delta (Curr - Prev Pos),Float,
0xE0,Ground/Air state,"0x00000000 on ground, 0x00000001 in air. Changing does nothing.",
0xE4,Horzitonal Velocity Queue (Will be added to 0xEC),Float.,
0xE8,???,Float.,
0xEC,"Horizontal velocity (ground, self-induced)",Float. Self-induced. Also affects running animation.,
0xF0,???,Float.,
0xF4,???,Float.,
0xF8,???,,
0x100,???,Float.,
0x104,Unk Pointer,,
0x108,Unk Pointer,,
0x10C,Pointer to .dat file in RAM,"0x8 from the address located here contains a pointer to the start of the .dat (0x20 of the start of the .dat in RAM)
0x44 from the address located here contains a pointer to ledge grab box values. 0x10,014,0x18 are ledge grab box values",
,,,
Character Attributes,,These values are taken from the dat files and loaded directly into memory.,
0x110,Walk initial velocity,Float.,
0x114,Walk acceleration,,
0x118,Walk maximum velocity,,
0x11C,Slow walk max?,,
0x120,Mid walk point?,,
0x124,Fast walk min?,,
0x128,Ground friction,,
0x12C,Dash initial velocity,,
0x130,Dash/run acceleration A,...,
0x134,Dash/run acceleration B,,
0x138,Dash/run terminal velocity,,
0x13C,Run animation scaling,,
0x140,Run Acceleration?,,
0x144,Grounded Max Horizontal Velocity,,
0x148,Jump startup time,,
0x14C,Jump H initial velocity,,
0x150,Jump V initial velocity,,
0x154,Ground to air jump momentum multiplier,,
0x158,Jump H max velocity,,
0x15C,Hop V initial velocity,,
0x160,Air jump V multiplier,,
0x164,Air jump H multiplier,,
0x168,Max Jumps,,
0x16C,Gravity,Float.,
0x170,Terminal Velocity,,
0x174,Air mobility A,,
0x178,Air mobility B,,
0x17C,Max Horizontal Air Speed,,
0x180,Horizontal Air Friction,,
0x184,Fastfall Velocity,,
0x188,???,,
0x18C,Jab-2 input window,,
0x190,Jab-3 input window,,
0x194,Frames to change direction on standing turn,,
0x198,Weight,,
0x19C,Model Scaling,,
0x1A0,Initial Shield Size,,
0x1A4,Shield break initial velocity,,
0x1A8,Rapid jab window,,
0x1AC,???,,
0x1B0,???,,
0x1B4,???,,
0x1B8,Ledge Jump Horizontal Velocity,,
0x1BC,Ledge Jump Vertical Velocity,,
0x1C0,Item Throw Velocity Multiplier,,
0x1C4,???,,
0x1C8,???,,
0x1CC,???,,
0x1D0,???,,
0x1D4,???,,
0x1D8,???,,
0x1DC,???,,
0x1E0,???,,
0x1E4,???,,
0x1E8,???,,
0x1EC,???,,
0x1F0,Kirby B Star Damage,,
0x1F4,Normal Landing Lag,,
0x1F8,N-air Landing Lag,,
0x1FC,F-air Landing Lag,,
0x200,B-air Landing Lag,,
0x204,U-air Landing Lag,,
0x208,D-air Landing Lag,,
0x20C,Victory Screen Window Model Scale,,
0x210,???,,
0x214,Wall Jump Horizontal Velocity,,
0x218,Wall Jump Vertical Velocity,,
0x21C,???,,
0x220,???,,
0x224,???,,
0x228,???,,
0x22C,???,,
0x230,???,,
0x234,???,,
0x238,???,,
0x23C,???,,
0x240,???,,
0x244,???,,
0x248,???,,
0x24C,???,,
0x250,???,,
0x254,???,,
0x258,???,,
0x25C,Bubble ratio?,,
0x260,???,,
0x264,???,,
0x268,???,,
0x26C,???,,
0x270,Respawn Platform Scale,,
0x274,???,,
0x278,???,,
0x27C,Camera Zoom Target Bone?,,
0x280,???,,
0x284,???,,
0x288,???,,
0x28C,Special Jump Action = -1...?,,
0x290,Weight Dependent Throw Speed Flags,,
*Character Attributes End*,,,
,,,
,,,
0x2D4,Pointer to 0x2420,Used by functions that are checking Article FP data,
0x2D8,Pointer to 0x2420 (Repeated),,
,,,
0x3E4,Sub Action Event Timer,(Start of subaction struct. Often referenced as a pointer in subaction event functions as r4),
0x3E8,Sub Action State Frame Counter,"Float, resets to 1 with each new action state.",
0x3EC,Subaction Syntax Data Position Pointer,"Pointer. Pointer points to the current position of the subaction event data (by the Word) as it is being read by the subaction event handler. The subaction event data is as it is stored in the Pl**.dat file. (That's right, like in Crazy Hand)",
0x3F0,Event Loop Count,Int. Controlled by Event 0x0C,
0x3F4,Event Return Pointer,,
0x3F8,Unk,Int. Same functionality as 0x3F0.,
0x3FC,Unk,,
0x400,Pointer to 0x460,,
0x404,Pointer to 0x3C0,,
,,,
0x49C,Pointer to 0x4B0 / Color Blend Pointer,,
0x4B4,rrggbbaa color,Changing changes color.,
0x4B8,Red value,Float. Set between 0 and 255.,
0x4BC,Green value,Float,
0x4C0,Blue value,Float,
0x4C4,Alpha value,Float,
0x4C8,Red blink rate,Float,
0x4CC,Green blink rate,Float,
0x4D0,Blue blink rate,Float,
0x4D4,Alpha blink rate,Float,
0x504,Color tint on/off,Byte. Change to 0x80 or above to induce a color tint. Melee uses 0x91,
0x58C,Action state ID?,read during ASC @ 80085cf8,
0x590,Action state data pointer,I THINK this points to data related to current action state.,
0x594,Team ID,"Most-significant bit appears to be related to air-to-ground momentum transfer, rest unknown",
0x598,Unknown pointer,,
0x59C,Pointer to portion of PlxxAJ.dat for current subaction,,
0x5A4,Action state data length,,
0x5E8,Bone lookup table (Points to a table of pointers to JObjs),http://smashboards.com/threads/custom-subaction-event-character-data-modifications.429112/#post-20920399,Note: The Table1 referenced here is incorrect - It's actually a JObj.
0x5F8,Item Held Bool?,,
0x60C,Pointer to GFX to display,,
0x618,Player controller number,Byte. Change this to have a different player control the character.,
0x619,Costume ID,Byte.,
0x61A,Color Overlay ID,,
0x61B,Team ID,"Byte. 00 = red, 01 = blue, 02 = green",
0x620,Analog Stick Data X,"Used to compare previous value vs. current value to differentiate ""tilts"" and ""smashes""",
0x624,Analog Stick Data Y,,
0x628,Prev Analog Stick X,,
0x62C,Prev Analog Stick Y,,
